2	ab	ady	ain	ale	arb	av	azj	ba	be	bg	bn	br	bsk	bua	ca	ce	ckt	cmn	cs	cv	cy	da	dar	ddo	de	ekk	el	en	enf	es	ess	eu	evn	fi	fr	ga	gld	he	hi	hr	hu	hy	is	it	itl	ja	ka	kca	ket	khk	kk	kl	kmr	kn	ko	koi	kpv	krl	la	lbe	lez	liv	lt	lv	mdf	mhr	ml	mnc	mns	mrj	myv	nio	niv	nl	no	olo	os	pbu	pes	pl	pt	ro	ru	sah	se	sel	sjd	sk	sl	sma	smj	smn	sms	sq	sv	ta	te	tr	tt	udm	uk	uzn	vep	xal	ykg	yrk	yux
Arm::N	амахəар	ӏэ	tek	chuyu-x́	ذراع	гъеж	qol	ҡул	рука	ръка	বাহু	brec'h	-śák	гар	braç	пхьарс	мынгылгын	臂膀	ruka	алӑ	braich	arm	някъ	мецу	Arm	käsivars	μπράτςο, χέρι	arm	уза	brazo	талъиӄ	beso	ӈа̄лэ	käsivarsi	bras	lámh	ӈа̄ла	זרוע	बाँह, बाज़ू	ruka	kar	բազուկ, թեւ	armur	braccio	хк’ич	腕	ხელი	ёш	ыль, хъӈн, ляӈат	гар	қол	taleq	çepil	ತೋಳು	팔	ки	ки	käsivarsi, käsi	bracchium	ка	гъил	ke’ž	ranka	delms, roka	кядь	кид	കൈ	mayan, gala	ка̄т	кид	кедь	дютү	тамк	arm	arm	käzivarzi, käzi	цонг	لاس	بازو	ramię, ręka	braço	braț	рука	илии	giehta	уты	кӣдт	rameno	rôka	gïete	giehta	kietâ, kie'tâkaaṿâ	ǩiõtt	krah	arm	கரம்	చేయి	kol	кул	суй	рука	bilak	käzi	һар	чальдьэӈ, чальдьэ	ӈуда	nugen
Art::N	ахкы	изэрэщы́т, лъэпкъ		sxa-x́	نوع	жинс	çeşid	төр	від	вид	রকম	sort	ćoq, qísum	зүйл, аймаг	classe, tipus			种类	druh	тӗс	bath	art	жура	тайпа	Art	liik	είδος	sort	озиэ	clase, tipo		mota	ичэдэ	laji	sorte, espèce	saghas, sórt	дурун	סוג	क़िस्म, तरह	vid, vrst	faj, fajta	տեսակ	tegund	tipo, specie		種類	სახეობა			төрөл, янз	түр	ileqquuseq	çeh	ತರ	정류	пӧлӧс	сикас	laji, luokka	genus	жинс	жуьре	līk	rūšis	šķira, suga	вид	вид	തരം	sukdun, hacin	аквсыр	цӹре	вид	ӈәз̌у		slag, soort	art, slag	laji, rodu	хуызад, хуыз	ډول	نوع	rodzaj	tipo, espécie	fel, specie	вид	биис	čearda	ӄураш	на̄лль	druh	vŕsta	aarhte	sládja, tjærdda	šlaaj̣â	nää´ll	lloj	slag, art	வகை	జాతి	çeşit	төр	тус	рід	tur	rodsugu, rod	зүүл		тэ̇нз	čugö
Arznei::N	ахəшə	ӏэзэ́гъу	kusuri	haǵiyaasi-x́, amiyaasi-x́, uǵayaasi-x́	دواء	дару	dərman, ilaç	дарыу	лекі	лекарство, лек	ঔষধ	louzoù	milí	эм	medicament	молха	инэнмэлевичгын	药	lék	эмел	meddyginiaeth	medicin, lægemiddel	дарман	дару	Arznei	ravim	φάρμακο	medicine	лекарса	medicamento, medicina	аӷа	osagai, sendagai	аӣчӣвӯн	lääke	médecine, remède	cógas	окто	תרופה	औषाधि, दवा	lijek	gyógyszer, orvosság	դեղ	lyf	fàrmaco, medicina	љэкарства’	薬	წამალი	портун	лекарсво	эм	дәрі, дәрі-дәрмек	imigassaq	derman	ಔಷಧ	약	лекарство	лекарство, зелля	liäke	remedium	дару	дарман	āinad	vaistas	zāles, medikaments	надо́бья, пъчка́фтома	эм	മരുന്ന്	okto, daifu i doro	тэ̄рпи	лекӓрцӹ	ормаменькс	лекаарсә	оӽт	geneesmiddel, medicament	medisin, legemiddel	lekarsvu, lieče, zel'l'u	хос	دارو, دوا	دارو	lekarstwo	remédio	leac, medicament	лекарство	эмп	dálkkas	лекарсаймы	лоаддв	liek	lék, zdravílo	daalhkesh	dálkas	taalhâs, lekittâs	taalkâs	ilaç	medicin, läkemedel	மருந்து	మందు	ilâç	дару	эмъюм	ліки	dori	zel'l'	эм	амаличчэ	лекарцё	
Asche::N	ахəа	яжьэ́	una	utxi-x́	رماد	рахъу	kül	көл	попел	пепел	ভস্ম	ludu	phétin	үнэһэн	cendra	чим	пин’пин’	灰烬	popel	кӗл	lludw	aske	палда	ноӏлӏу	Asche	tuhk	στάχτη	ashes	туҫа	ceniza	у̌ылъӄа	errauts	хулэптэн	tuhka	cendre	luaith	хоромса	אפר	राख	pepeo	hamu	մոխիր	aska	cenere	˚пиӈпиӈ	灰	ფერფლი	тут рав	ӄоллан, ӄолан	үнс	күл	arsat	xweli	ಬೂದಿ	재	пӧим	пӧм	tuhka	cinis	лах	руьхъ	tū’gõd	pelenai	pelni	кулу	ло́мыж	ചാരം	furanaha	хӯлюм	ломпыж, ломых	кулов	туу дөоˮ	ӿимс, ӿилмр̌	as	aske	tuhku	ӕртхутӕг, фӕнык	آس, ایره	خاکستر	popiół	cinza	cenușă	пепел, зола	күл	gutna	щимы	кунн	popol	pepél	govne	gudna	kunnâ	kunn	hi	aska	சாம்பல்	బూడిద	kül	көл	пень	зола, попіл	kul	tuhk	үмсн	ноӻо, лачиӈонидьэ	тунзибя	šōloq
Ast::N	амахəҭа, амахə	куамэ	nitek	talǵi-x́	فرع	ноцӏ	şax	ботаҡ	сук	клон	শাখা	barr	ṣar	гэшүүһэн	branca	га	рытыл	树枝	větev	турат	cangen	gren	кьяли	ара	Ast	oks	κλαδί	limb	мой	rama	ау̌аяӄ	adar	гара	oksa	branche	géag	гара	ענף	डाल, शाखा	grana	ág	ճյուղ	grein	ramo	ч’әнӄ	枝	ტოტი	нув	әӷ	гишүү	бұтақ	avalequt	gulî	ಶಾಖೆ	가지	ув	ув	oksa	ramus	матӏи	тӏур	oksā	šaka	zars	морга	укш	ശാഖ	gargan	таг	укш	морго	муоде	тес, тер̌	tak	gren	oksu	арх	ښاخ	شاخه	gałąź	ramo	cracă, creangă	сук	мутук	oaksi	мо	вуэккьс	konár	véja	åeksie	oakse	uák'si	å´hss	degë	gren	கினை	కొమ్మ	budak, dal	ботак	ул	гілка	shox	oks	ац	чилгэ	мо	
Atem::N	аҧсыҧлагаҩгара	къэщэныр	he	anǵ-	نفس	хӏухь	nəfəs	һулыш	дыханне	дишане	শ্বাস	anal	muṣ, ṣĩ́ĩ	амидхал	alè, hàlit	садеӏар	выенторгыргын, выегыргын	呼吸	dech	сывлав	anadl	ånde	гьигьикӏни	хӏукел	Atem	hingamine, hingeõhk	αναπνοή	breath	пузи	aliento	аныӷныӄ	arnasa, hats	эрӣксэ, эрӣн	hengitys, henki	haleine	anáil	эриэн	נשימה	श्वास, साँस, दम	dah	lehelet, lélegzet	շունչ	andardráttur, andi	respiro, fiato	фчифч	呼吸, 息	სუნთქვა	ӆыӆ	иʼль	амьсгаа	леп	anerneq	hilm	ಉಸಿರು	기식	лолалӧм	лов	henkitys, henki	spiritus	ссихӏ бигьаву, ссихӏ ласаву	ял, нефес	jēngandõks	kvapas	elpa	ваймонь тарксема, лекома	шӱ́лыш	ശ്വാസം	sukdun, ki, ergen	лилтуп, лылтыл	шӱлӹш	лексема, оймень таргсема	бачуо, бачебса		adem	pust	hengitys	улӕфт	نفس	نفس	oddech, dech	fôlego	respirație, răsuflare	дыхание, дух	тыын	vuoiŋŋahat	кэйы	вӯййнмушш, вӯйнас	dych	díh	voejngehtasse	vuojŋadahka, båssånis	vuo'iŋâstim	jiõg'g	frymë	andedräkt, anda	மூச்சு	ఉపిరి	nefes	сулыш	шокан, лул	дихання	dam	hengaiduz	әмсхл	аӻарэ	индˮ(д)	jūčə
Auge::N	ала	нэ	shik	da-x́	عين		göz	күҙ	вока	око	চক্ষু	lagad	-lćin	нюдэн	ull	бӏаьрг	лылялгын	眼睛	oko	куҫ	llygad	øje	хӏули	озури	Auge	silm	μάτι, οφθαλμός	eye	сэй	ojo	ия	begi	э̄са	silmä	œil	súil	насал	עין	आँख, चक्षु	oko	szem	աչք	auga	occhio	лу’л	目	თვალი	сэм	дэсь	нүд	көз	isi	çav	ಕಣ್ಣು	눈	син	син	silmä	oculus	я	вил	sīlma	akis	acs	сельме	шинча́	കണ്ണ്	yasa	сам	сӹнзӓ	сельме	сеймы	няӽ	oog	øye	silmy	цӕст	سترګه	چشم	oko	olho	ochi	глаз	харах	čalbmi	сайи	ча̄лльм	oko	okó	tjelmie	tjalmme	čalme	čâ´lmm	sy	öga	கண்	కన్ను	göz	күз	син	око	ko'z	sil'm	нүдн	йуөдии	сэв	aŋďə
Bach::N	акəараҷҷа	псышкуашку	utnai	chiǵana-x́	مجرى	лъар	kiçik çay	шишмә	ручай	поток	ক্ষুদ্র নদী	gwazh		горхон	riera	татол	аатгырваамк’ай, вээмк’эй	溪	potok	пӗчӗк шыв	cornant, afonig, nant	bæk			Bach	oja	ρυάκι	brook	дёхаку, лохорта	arroyo	киу̌аӷак	lats, erreka	ю̄кту	puro	ruisseau	sruthán	бира̄ка̄н, оника̄н	נחל	नदिका, सोता	potok	patak	վտակ	lækur	ruscello	киввэчҳ	小川	ნაკადული, რუ	сойм	ӄоксь	горхи	жылға	kuunnguaq	çem	ತೊರೆ	내	шор	шор	puro	rivus	чӏрир нех	булах	ūrga	upelis	urga, strauts	шудерькс	изэҥе́р	അരുവി	birgan, muke	со̄юм	ӓнгӹр	чудикерькс	каан, каанаˮа	ӈыйю	beek	bekk	oja	мӕсчъыдон	واله	نهر	potok, strumień	ribeiro, regato	gârlă	ручей	үрүйэ	jogaš	кикя	вуэйй	potok	pôtok	johketje	jågåsj, jåhkå	aajâ	vuäjj	virua	bäck	ஓடை	కాలువ	çay, dere	елга	пичи шур	струмок	o'zan	oja	һооҗур	сиигийэӈ, сиигийэ	яхако	ojľ
Band::N	алента	лент	kuchihi	liinta-x́	شريط	лента	lent	таҫма	стужка	връзка, лента	ফিতা	bagad	ban	лентэ	veta, cinta	лента	кыттэлилгын	带子	pásek	йӗсме, хаю	rhuban	bånd	хӏяба, чял		Band	lint	κορδέλα	ribbon	лент	cinta	лента	zinta, xingola	сӯксэ	nauha	ruban	ribín	ёнто	סרט	पट्टी	vrpca	szalag	ժապավեն	band	fettuccia, nastro	к’имамтэно˘ӈ	リボン	ბაფთი	кияӈ		тууз	таспа	qilerutissiaq	band	ರಿಬ್ಬನ್	리본	ленточка	лента, вундас	hasa	redimiculum	линт	тасма	līnta	kaspinas	lente	лента, керькс	тасма́, ле́нте	റിബൺ	uše, subehe	ле̄нта	лемтӓ	лента			lint	band	lentu	лент	فيته	روبان, نوار	wstęga	fita, faixa	panglică, șiret	лента	лиэнтэ	báddi	лента	ля̄ӊӊт	stuha	trák	baante	bádde	päddi	källre´ppiǩ, liântt	shirit	band	நாடா	నాడా	şerit, bağ	тасма	лента	стрічка	rishta	lentaine	лент		лента	
Bart::N	ажакьа	жакӏэ́	rek	suxuyu-s	لحية	мегеж	saqqal	һаҡал	барада	брада	শ্মশ্রু	barv	-ṅí	үргэнэй һахал	barba	маж	валк’ылыргын	胡子	vousy	сухал	barf	skæg	муцӏур	мешолга	Bart	habe	γένια	beard	мунчи	barba		bizar	сакал	parta	barbe	féasóg	гогакта	זקן	दाढ़ी	brada	szakáll	մորուք	skegg	barba	лу’вәл	髭	წვერი	туш	кулюп, куль	сахал	сақал	umik	rih	ಗಡ್ಡ	수엄	тош	тош	parta	barba	чӏири	ччуру	a’bbõnd	barzda	bārda	сакал	понда́ш	താടിരോമം	hūse	тус	пандаш	сакал	мүндүˮся	аф	baard	skjegg	pardu	зачъе	ږیره	ریش	broda	barba	barbă	борода	сэҥийэ бытыга	seamu	унтый укы	ся̄м	brada	bráda	skaavtja, skaavtjoe	skávttjá	siämu	seäm	mjekër	skägg	தாடி	గడ్డము	sakal	сакал	туш	борода	soqol	bard	сахл, өргнә сахл	аӈаньугучэ	муноцьʼ(н)	aŋan-pugelbe
Bau::N	аҭыҩра	бы, гъу		chixti-x́	جحر	каратӏ	yuva	оң	нара	дупка	ডেরা	douarenn		нүхэн	cau	lуьрг	емык	穴	nora	йӗнӗ	ffau	bo		хъоӏд	Bau	urg	φωλιά	lair	баг	madriguera	рихта	ohantze	корон	pesä	terrier	brocais	е̄ру	מחלה	माँद, बिल	jazbina	odú	բայոց, որջ	bæli, greni	covo	асэра	穴	სორო	уӈх	ӄук	элүү, нүх	жатақ	ini	avahî	ಅಡಗುದಾಣ	굴	осьта, нора	гу, горс, пырмӧс	pahna	cavum, latibulum	цукъуккутӏ	тӏеквен	riek	ola	ala	пиза	пыжа́ш	മാളം	yeru	во̄ӈха	ыраж	пизе, варя	бәӈгүˮтүо	к’уты	hol	hi	nora	хуынкъ	کاز	بنا, ساختمان	nora	covil, toca	vizuină, bârlog	нора	хороон	biedju	сурыт питы	вуэӈӈк	nora	brlòg	biesie	liesso, biedjo	piäju		strofkë	bo	குகை	గుహ	in	өн	кар, гу	лігво	o'pqon	uru	нүкн	авур	ваӈгота, ваӈг	abut
Bauch::N	амгəа	ныбэ́	honi	ilida-x́	بطن	чехь	qarın	ҡорһаҡ	жывот	корем	উদর	kof	-úl	гэдэһэн	panxa	кийра	нанк’ын	肚子	břicho		bol	mave	кани	ах, лъара	Bauch	kõht	κοιλιά	belly	сосе	vientre	аӄся	sabel	хукитэ	vatsa, maha	ventre	bolg	хэмдэ	בטן	उदर	trbuh	has	փոր, որովայն	kviður	ventre	ӄэӆтӄ	腹, お腹	მუცელი	хон	хый, хъля	хэвлий, гэдэс	қарын	naaq	zik, ûr	ಹೊಟ್ಟೆ	배	кынӧм	рушку	maha	venter	лякьа	руфун	vatsā	pilvas	vēders	пеке	мӱ́шкыр	നയറ്	hefeli	пуки	мӹшкӹр	пеке	чайбә, минәз̌әә		buik	buk, mage	vačču	гуыбын	نس, ګېډه	شکم	brzuch	ventre, barriga	pântece, burtă	живот	ис	čoavji	перкы	чо̄ввьй	brucho	trébuh	tjåejjie	tjoajvve	čuáv'ji	čåu´jj	bark	mage, buk	வயிறு	కడుపు	karın	корсак	кӧт	живіт	qorin	koht, vac	гесн	моньил	тив	iril
Baum::N	аҵла	чъыгы́	ni	hyaaga-x́	شجرة	гъветӏ	ağac	ағас	дрэва	дърво	গাছ	gwezenn	tom, daráqt	модон	arbre	дитт	уттуут	树	strom	йывӑҫ	coeden	træ	галга	гъун	Baum	puu	δέντρο	tree	пя	árbol	уӄфиӽаӄ, унаӽсиӽаӄ	zuhaitz	ирэ̄ктэ	puu	arbre	crann	мо̄	עץ	वृक्ष, पेड़	stablo, drvo	fa	ծառ	tré	àlbero	у’	木	ხე	юх	өксь	мод	дарақ, ағаш	orpik	dar	ಮರ	나무	пу	пу	puu	arbor	мурхь	ттар	pū	medis	koks	шуфта	пуше́ҥге	മരം	moo	йив	пушӓнгӹ	чувто	муӈку	чӽар̌	boom	tre	puu	бӕлас	ونه	درخت	drzewo	árvore	arbore, copac	дерево	мас	muorra	по	мӯрр	strom	drevó	moere	muorra	muoṛâ	muõrr	pemë	träd	மரம்	చెట్టు	ağaç	агач	пу	дерево	daraxt	pu	модн	саал	пя	šāl
